LOCALIDAD,NOMBRE ORGANIZACIÓN,COMERCIALIZACIÓN,CUENTA CON BODEGA,PLANILLAJE UAESP
"",ASAOCIACION DE RECICLADORES - ASOREVIVIR,"","",""
"",ASOCIACION COLOMBIANA DE RECUPERADORES UNIDOS POR BOGOTA,"","",""
"",ASOCIACION DE MUJERES DE RECICLAJE UNA OPCION DIGNA -ASODIG-,"","",""
"",ASOCIACION DE RECICLADORES - ASORELLE,"","",""
"",ASOCIACION DE RECICLADORES DE MARIA PAZ,"","",""
"",ASOCIACION DE RECICLADORES ECOAMBIENTALES POR UN MEDIO SUSTENTABLE -AREMS-,"","",""
"",ASOCIACION DE RECICLADORES ECOLOGICA PARA UN AMBIENTE MEJOR,"","",""
"",ASOCIACIÓN DE RECICLADORES EL TRIUNFO - ASORETRIUNFO,"","",""
"",ASOCIACION DE RECICLADORES JUNTOS POR LA SOSTENIBILIDAD AMBIENTAL -ARSA-,"","",""
"",ASOCIACION DE RECICLADORES Y RECUPERACION AMBIENTAL -ARYPA-,"","",""
"",ASOCIACION DE RECILADORES DE LAS MARIAS,"","",""
"",ASOCIACION DE RECUPERADORES AMBIENTALES ASOREAMB,"","",""
"",ASOCIACION DE RECUPERADORES AMBIENTALES BOGOTA MAS LIMPIA - ASORECUPERAR SM,"","",""
"",ASOCIACION EMPRESARIOS DEL FUTURO (ASOEF),"","",""
"",ASOCIACION INTEGRAL DE TRABAJADORES INFORMALES DE BOGOTA - ASITIRB,"","",""
"",ASOCIACION NACIONAL DE RECICLADORES Y TRANSFORMADORES -ANRT,"","",""
"",COOPERATIVA DE TRABAJO ASOCIADO ECOAMBIENTAL EL PORVENIR -PORVENIR-,"","",""
"",COPORACION DE RECICLADORES DE PUENTE ARANDA,"","",""
"",COPRAT,"","",""
"",ECOPLANETA EL AMPARO ESP,"","",""
"",ECORESIDUOS ASOCIACION DE RECICLADORES DE OFICIO,"","",""
"",EMPRESA ASOCIATIVA DE FAMILIAS RECICLADORAS,"","",""
"",LA UNION,"","",""
"",MUJERES POR UN AMBIENTE MEJOR,"","",""
"",TRABAJEMOS UNIDOS,"","",""
ANTONIO NARIÑO,ASOCIACION DE RECICLADORES DE OFICIO LAZOS UNIDOS MEDIANTE ESPERANZAS NUEVAS - LUMEN,"","",""
ANTONIO NARIÑO,NEW WORLD,X,"",""
BARRIOS UNIDOS,ASOCIACIÓN DE RECICLADORES JULIO FLOREZ Y 12 DE OCTUBRE - LA UNIÓN,"","",""
BARRIOS UNIDOS,ASOCIACION DE RECICLADORES RECIKOLPING,"","",""
BARRIOS UNIDOS,ASOREDI E. S. P - ASOCIACIÓN RECICLEMOS DIFERENTE EMPRESA DE SERVICIOS PÚBLICOS ESP,"","",""
BOSA,ARNUGEBO,X,"",X
BOSA,ASOCIACION DE RECUPERADORES AMBIENTALES MUNDO VERDE,X,"",""
BOSA,ACRUB,X,X,""
BOSA,ANRT,X,X,X
BOSA,ARUPAF,X,X,X
BOSA,ASITRIB,X,X,X
BOSA,ASOES,X,X,""
BOSA,COOPROPLAST,X,X,""
BOSA,NUZABYS,X,X,""
CANDELARIA,CENHIS,X,"",""
CANDELARIA,ASOCIACION DE RECICLADORES DE BOGOTA (ARB),X,X,X
CANDELARIA,ASOCIACION DE RECICLADORES POR UNA BOGOTA MEJOR - ARBO,X,X,""
CHAPINERO,RECICLANDOANDO,"","",""
CHAPINERO,ASOCHAPINERO,"",X,X
CHAPINERO,ASOSEMILLEROS,"",X,X
CHAPINERO,RECICLOSOCIAL,"",X,X
CHAPINERO,RECICOLPI,"",X,X
CHAPINERO,SINEAMBORE,"",X,X
CIUDAD BOLIVAR,ASOCIACION DE RECUPERADORES AMBIENTALES SIN INDIFERENCIA - ARASID,"","",""
CIUDAD BOLIVAR,NEW WORLD,"","",""
CIUDAD BOLIVAR,SINEAMBORE,"",X,X
ENGATIVA,AREZ 10,"","",""
ENGATIVA,MILENIUM 3000,"","",""
ENGATIVA,AMODEVI,X,X,X
ENGATIVA,ARPE- Engativá,X,X,X
ENGATIVA,CORPOSACRE,X,X,X
ENGATIVA,FEDERACION SINDICAL NACIONAL DE ORGANIZACIONES PROTECTORAS DEL MEDIO AMBIENTE FESNOPMACOESP – Engativá,X,X,X
ENGATIVA,RECUPERADORA AMBIENTAL ENGATIVA - RAE,X,X,""
FONTIBON,ASOCIACION DE RECICLADORES DE OFICIO ARO AMBIENTALES,"","",""
FONTIBON,PRMCEG -  PRECOPERATIVA MULTIACTIVA CONCIENCIA ECOLÓGICA NO AL CALENTAMIENTO GLOBAL,X,"",""
FONTIBON,ARBUIC - ASOCIACIÓN DE RECICLADORES Y BODEGUEROS UNIDOS POR LA IGUALDAD EN COLOMBIA,X,X,""
FONTIBON,ASOCIACIÓN DE RECUPERADORES AMBIENTALES - ASEO ECOACTIVA,X,X,X
