Localidad,Dirección,Latitud,Longitud
ENGATIVA,Calle 80C Numero 92-44,4.7063866,-74.107807917
ENGATIVA,Carrera 69K Numero 79-49,4.6885498,-74.085949817
FONTIBON,Calle 17 a Numero. 69F-26,4.6455686,-74.123019170
KENNEDY,Avenida Carrera  86 Numero. 5A – 92 sur,4.7484841,-74.151432712
KENNEDY,Carrera 68 a Numero 39f-50 sur,4.6297419,-74.156168914
KENNEDY,Carrera 83 Numero. 11A - 53,4.6514239,-74.145082517
KENNEDY,Diagonal 38 sur Número 81g – 66 bodega 5,4.6247777,-74.145763114
KENNEDY,Diagonal 38 sur Número 81g – 66 bodega 6,4.6247773,-74.145763114
MARTIRES,Calle 8 Numero. 26-80,4.6696342,-74.066435617
PUENTE ARANDA,Carrera 42 Numero. 10a – 37,4.6298780,-74.097387717
PUENTE ARANDA,Carrera 65B Numero. 17-80,4.6385435,-74.115610417
USAQUEN,Carrera 18 Numero 164A-32,4.6209500,-74.073941117
USAQUEN,Carrera 21 Numero 164 - 82,4.6110702,-74.086838000
USME,Carrera 14A bis Numero 78-66 Sur,4.7063866,-74.107807917
