calendario,sector,nombreestablecimiento,telefono,nombre_Rector,correo_Electronico,direccion,secretaria,zona,tipo_Establecimiento,etnias,genero,niveles,jornadas,caracter,especialidad,grados,modelos_Educativos,capacidades_Excepcionales,discapacidades,idiomas,numero_de_Sedes,estado,prestador_de_Servicio,propiedad_Planta_Fisica,resguardo,matricula_Contratada,internado,estrato_Socio_Economico,año
A,,COLEGIO TECNICO DOMINGO FAUSTINO SARMIENTO  (IED),2367748 / 2367766 /,MARCO AURELIO VARGAS MORALES,intdidomingofausti12@redp.edu.co,IND TR. 41 NO.95-51,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",TÉCNICO / ACADÉMICO,"COMERCIAL,ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL",,,,4,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO HELADIA MEJIA  (IED),2486831 -- 2551173,NUBIA LUCIA RODRIGUEZ VARGAS,coldiheladiamejia12@redp.edu.co - chalo936@gmail.com,CL 65 15 A 04,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,2,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO ROBERT F. KENNEDY (IED),2519559,JAIRO HERNAN TELLEZ SALAZAR,escdirobertkennedy10@redp.edu.co,AV BOYACA 64 H 39,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,,,2,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO LUIS VARGAS TEJADA (IED),7411089 -- 2383695,GUSTAVO ADOLFO GALLEGO CASTAÑEDA,coldiluisvargastej16@redp.edu.co,KR 52 C 19 A 76 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,2,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO SOTAVENTO (IED),7651003,ORLANDO RIOS ANTOLINEZ,escdisotavento19@redp.edu.co,CL 73 A 16 F 35 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,ÚNICA,TARDE",ACADÉMICO,ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL",,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO SAN CARLOS (IED),7676178,NELFA BELEN RINCON LEAL,escdijoseantoniori6@redp.edu.co,KR 19 50 37 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,14,15,18,22,23,24,25,26,99","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,,,2,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO DIEGO MONTAÑA CUÉLLAR (IED),7735420 -- 7735518 -- 7610910,JOSE RICARDO MOLINA SOLANO,cedmonteblanco5@redp.edu.co,KR 2 ESTE 101 A 01 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11,99","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,DI-COGNITIVO,,3,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO MARRUECOS Y MOLINOS (IED),7609287,LUIS EDUARDO HURTADO LOPEZ,cedmarruecosymoli18@redp.edu.co -- colmarruecosymolinos@gmail.com,CL 49 D BIS SUR 5 X 02,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL",,,,3,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO CASTILLA (IED),2923167,LUZ MERY PULIDO GORDILLO,cednvacastilla8@redp.edu.co,KR 78 8 A 43,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,2,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO FRANCISCO DE MIRANDA (IED),2651415 -- 2651409 -- 2736252,HERNANDO MARTINEZ NIÑO,cedfranciscodemir8@redp.edu.co,DG 41 SUR 73 A 80,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO ALEJANDRO OBREGON (IED),2722320 / 2095239,REINERIO GUTIERREZ MELO,cedalejandroobreg18@redp.edu.co,CL 30 SUR 15 45,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
